LG,position_window,n_mean,cm_male_mean,cm_female_mean,cm_sex_averaged_mean,cm_span_male_mean,cm_span_female_mean,cm_mb_male_mean,cm_mb_female_mean,cm_mb_sex_averaged_mean,crossovers_male_mean,crossovers_female_mean,crossovers_sex_averaged_mean,bp_position_mean,windowed_correlation_mean,male_distortion_mean,female_distortion_mean,Mendelian_distortion_mean,n_sum,cm_male_sum,cm_female_sum,cm_sex_averaged_sum,cm_span_male_sum,cm_span_female_sum,cm_mb_male_sum,cm_mb_female_sum,cm_mb_sex_averaged_sum,crossovers_male_sum,crossovers_female_sum,crossovers_sex_averaged_sum,bp_position_sum,windowed_correlation_sum,male_distortion_sum,female_distortion_sum,Mendelian_distortion_sum,window_end
LG1,0,674,0.685466973886329,0.737313364055299,0.711390168970814,1.075,1.075,0.000001075,0.000001075,0.000001075,0.00307219662058372,0.00307219662058372,0.00307219662058372,597110.483679525,0.7833810151549,0.3065395,1.663865,1.8867725,454276,446.239,479.991,463.115,724.55,724.55,0.00072455,0.00072455,0.00072455,2,2,2,402452466,527.998804214403,1.226158,6.65546,7.54709,1000000
LG1,1,527,1.49270186335404,1.23094202898551,1.36182194616977,0.538,1.076,0.000000538,0.000001076,0.000000807,0.0020703933747412,0.0041407867494824,0.0031055900621118,1633713.5711575,0.220937908295598,0.344192,1.37805,1.694775,277729,720.975,594.545,657.76,283.526,567.052,0.000283526,0.000567052,0.000425289,1,2,1.5,860967052,116.43427767178,0.688384,2.7561,3.38955,2000000
LG1,2,348,2.54071568627451,2.5513660130719,2.5460408496732,2.688,1.612,0.000002688,0.000001612,0.00000215,0.0163398692810458,0.00980392156862745,0.0130718954248366,2664730.83045977,0.887517950012925,0.096786,1.561355,1.3859475,121104,777.459,780.718,779.0885,935.424,560.976,0.000935424,0.000560976,0.0007482,5,3,4,927326329,308.856246604498,0.387144,6.24542,5.54379,3000000
LG1,3,352,6.03644871794872,4.64759615384615,5.34202243589744,4.301,1.076,0.000004301,0.000001076,0.0000026885,0.0256410256410256,0.00641025641025641,0.016025641025641,3417201.8125,0.801837868859934,0.0573537444444444,2.45706666666667,1.91552777777778,123904,1883.372,1450.05,1666.711,1513.952,378.752,0.001513952,0.000378752,0.000946352,8,2,5,1202855038,282.246929838697,0.5161837,22.1136,17.23975,4000000
LG1,4,477,10.7588227272727,5.33084318181818,8.04483295454546,6.989,0.537,0.000006989,0.000000537,0.000003763,0.0318181818181818,0.00227272727272727,0.0170454545454545,4322327.4884696,0.296025671027746,0.0599132428571429,2.18709642857143,1.52366357142857,227529,4733.882,2345.571,3539.7265,3333.753,256.149,0.003333753,0.000256149,0.001794951,14,1,7.5,2061750212,141.204245080235,0.8387854,30.61935,21.33129,5000000
LG1,5,559,20.9124645522388,5.376,13.1442322761194,8.603,0,0.000008603,0,0.0000043015,0.0298507462686567,0,0.0149253731343284,5632444.79964222,NA,0.373506542857143,2.1547,0.582395928571429,312481,11209.081,2881.536,7045.3085,4809.077,0,0.004809077,0,0.0024045385,16,0,8,3148536643,0,5.2290916,30.1658,8.153543,6000000
LG1,6,587,29.4946127272727,5.376,17.4353063636364,9.139,0,0.000009139,0,0.0000045695,0.0327272727272727,0,0.0163636363636364,6448056.95570698,NA,2.00103866666667,2.1547,0.44444604,344569,16222.037,2956.8,9589.4185,5364.593,0,0.005364593,0,0.0026822965,18,0,9,3785009433,0,30.01558,32.3205,6.6666906,7000000
LG1,7,293,35.3634671814672,5.376,20.3697335907336,3.226,0,0.000003226,0,0.000001613,0.0231660231660232,0,0.0115830115830116,7619704.76109215,NA,2.09361166666667,2.1547,0.589641666666667,85849,9159.138,1392.384,5275.761,945.218,0,0.000945218,0,0.000472609,6,0,3,2232573495,0,12.56167,12.9282,3.53785,8000000
LG1,8,258,38.47975,6.93912288135593,22.709436440678,2.688,2.151,0.000002688,0.000002151,0.0000024195,0.0211864406779661,0.0169491525423729,0.0190677966101695,8584112.5,0.68344946778496,1.32416833333333,1.396376,1.00596266666667,66564,9081.221,1637.633,5359.427,693.504000000001,554.958,0.000693504000000001,0.000554958,0.000624231000000001,5,4,4.5,2214701025,176.32996268852,7.94501,8.378256,6.035776,9000000
LG1,9,395,40.1634186666667,8.24817066666667,24.2057946666667,2.151,1.075,0.000002151,0.000001075,0.000001613,0.0106666666666667,0.00533333333333333,0.008,9370190.48607595,0.840284465793735,1.88857833333333,0.441043,0.537154833333333,156025,15061.282,3093.064,9077.173,849.645000000001,424.625,0.000849645000000001,0.000424625,0.000637135,4,2,3,3701225242,331.912363988525,11.33147,2.646258,3.222929,10000000
LG1,10,208,42.5803025641026,9.22812307692308,25.9042128205128,2.15,0.536999999999999,0.00000215,0.000000536999999999999,0.0000013435,0.0205128205128205,0.0102564102564103,0.0153846153846154,10284451.2307692,0.61007803537365,2.95426333333333,0.17565635,1.10473633333333,43264,8303.159,1799.484,5051.3215,447.2,111.696,0.0004472,0.000111696,0.000279448,4,2,3,2139165856,126.896231357719,17.72558,1.0539381,6.628418,11000000
LG1,11,235,43.7984055299539,10.8267142857143,27.3125599078341,1.076,3.764,0.000001076,0.000003764,0.00000242,0.00921658986175115,0.032258064516129,0.0207373271889401,11285668.8680851,0.943011272329752,3.375885,0.268887,1.1373025,55225,9504.254,2349.397,5926.8255,252.86,884.54,0.00025286,0.00088454,0.0005687,2,7,4.5,2652132184,221.607648997492,13.50354,1.075548,4.54921,12000000
